"id","player","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"11760","Jimmy Garoppolo","SFO","QB",29,6,"QB","weighted",239.221429780547,21,0.768182827558178,25.6058374602029,209.52,268.70841378882,6,-24.3047369793995,202,-34.2533333333333,220,-27.8368417447253,214
"11761","Jerick McKinnon","SFO","RB",28,6,"RB","weighted",63.8425833463218,65,2.17973160858811,28.901504505763,35.8,100.7280625,9,-51.8467733972261,281,-64.1756666666667,294,-39.5402052553281,256
"11783","John Brown","BUF","WR",30,6,"WR","weighted",114.76630526825,40,0.596990991952566,21.3922973620749,95,143.760409090909,8,-11.76984421791,153,-10.7333333333333,135,1.8416197023617,98
"11785","Richard Rodgers","FA","TE",28,6,"TE","weighted",11.5312114402451,94,0.69891530170157,9.07647094028759,4.898,19.7085,11,-82.8876738812768,396,-76.6353333333333,361,-90.9548189210438,402
"11835","David Fales","FA","QB",30,6,"QB","weighted",0.24,77,0.14,NA,0.24,0.24,16,-263.286166759947,678,-243.533333333333,643,-296.305255533545,680
"11850","Quincy Enunwa","FA","WR",28,6,"WR","weighted",25.4,127,1.46233759062755,NA,25.4,25.4,14,-101.13614948616,479,-80.3333333333333,393,-116.518789388547,482
"11854","Garrett Gilbert","FA","QB",29,6,"QB","weighted",-0.135,83,NA,NA,-0.135,-0.135,22,-263.661166759947,684,-243.908333333333,653,-296.680255533545,686
"11894","David Fluellen","FA","RB",28,6,"RB","weighted",22.069,108,1.469,NA,22.069,22.069,12,-93.6203567435478,460,-77.9066666666667,368,-118.199267755328,485
"11931","Bennie Fowler","FA","WR",29,6,"WR","weighted",3.721,195,0.129118644067797,Inf,3.721,3.721,17,-122.81514948616,596,-102.012333333333,560,-138.197789388547,590
"11936","Chris Boswell","PIT","K",31,6,"K","weighted",102.475970378247,19,0.314178592654557,25.6734920719868,70.353712036038,129.514471869784,1,-8.20381541333096,137,-21.3862296177402,175,-2.08301008643232,120
"11938","Adam Thielen","MIN","WR",30,6,"WR","weighted",160.061867854473,13,3.66374559995381,9.55879473905958,149.9,173.008045454545,5,33.525718368313,48,44.1666666666667,38,31.0892560659981,56
"11945","Cairo Santos","FA","K",29,6,"K","weighted",30.7911719939117,41,NA,23.3816642312352,14.3333333333333,44.0781651376147,4,-79.8886137976659,379,-77.4066083204449,362,-87.5193168186013,389
"11947","Brandon McManus","DEN","K",29,6,"K","weighted",103.188296143978,18,0.718797371254723,21.4825209956983,76.7845638481102,122.052025726744,1,-7.49148964760005,133,-14.9553778056681,151,-9.54545622947175,146
"11951","Willie Snead","BAL","WR",28,6,"WR","weighted",52.5937026282516,96,0.670135403655514,14.8870180134517,35.972,68.4656395348837,12,-73.9424468579079,352,-69.7613333333333,315,-73.4531498536637,342
"11957","Dontrelle Inman","WAS","WR",31,7,"WR","weighted",37.6020408560311,112,0.0483521295857727,12.3830898185534,23.5,46.9843024844721,13,-88.9341086301284,427,-82.2333333333333,410,-94.9344869040753,415
"11960","Chandler Catanzaro","FA","K",29,6,"K","weighted",66.0414954337899,38,6.47705979414441,26.8302829286471,47.15625,81.2882196100917,3,-44.6382903577876,260,-44.5836916537782,245,-50.3092623461242,288
"11964","Senorise Perry","FA","RB",29,6,"RB","weighted",3.569,144,0.397450693374422,NA,3.569,3.569,19,-112.120356743548,531,-96.4066666666667,485,-136.699267755328,575
"11975","Taylor Gabriel","FA","WR",29,6,"WR","weighted",2.6,208,0.2225,NA,2.6,2.6,17,-123.93614948616,609,-103.133333333333,572,-139.318789388547,603
"12040","Keith Smith","ATL","RB",28,6,"RB","weighted",4.62903543913713,141,0.573035439137135,4.03192286632569,1.8,6.92737298136646,14,-111.060321304411,525,-98.1756666666667,504,-133.340894773962,548
"12110","Cameron Brate","TBB","TE",29,6,"TE","weighted",37.8294634392335,47,2.96519321308077,14.435223324403,20.933,54.8080454545455,9,-56.5894218822884,297,-60.6003333333333,282,-55.8552734664983,298
